question_no,media_no,file_name,media_path,source_stream
8,1,q008_media_1.gif,media/q008_media_1.gif,BinData/BIN0001.tmp
9,1,q009_media_1.gif,media/q009_media_1.gif,BinData/BIN0002.tmp
15,1,q015_media_1.gif,media/q015_media_1.gif,BinData/BIN0003.tmp
23,1,q023_media_1.gif,media/q023_media_1.gif,BinData/BIN0004.tmp
36,1,q036_media_1.gif,media/q036_media_1.gif,BinData/BIN0005.tmp
37,1,q037_media_1.gif,media/q037_media_1.gif,BinData/BIN0006.tmp
44,1,q044_media_1.gif,media/q044_media_1.gif,BinData/BIN0007.tmp
44,2,q044_media_2.gif,media/q044_media_2.gif,BinData/BIN0008.tmp
44,3,q044_media_3.gif,media/q044_media_3.gif,BinData/BIN0009.tmp
44,4,q044_media_4.gif,media/q044_media_4.gif,BinData/BIN000A.tmp
47,1,q047_media_1.gif,media/q047_media_1.gif,BinData/BIN000B.tmp
49,1,q049_media_1.gif,media/q049_media_1.gif,BinData/BIN000C.tmp
53,1,q053_media_1.gif,media/q053_media_1.gif,BinData/BIN000D.tmp
54,1,q054_media_1.gif,media/q054_media_1.gif,BinData/BIN000E.tmp
57,1,q057_media_1.gif,media/q057_media_1.gif,BinData/BIN000F.tmp
57,2,q057_media_2.gif,media/q057_media_2.gif,BinData/BIN0010.tmp
57,3,q057_media_3.gif,media/q057_media_3.gif,BinData/BIN0011.tmp
57,4,q057_media_4.gif,media/q057_media_4.gif,BinData/BIN0012.tmp
57,5,q057_media_5.gif,media/q057_media_5.gif,BinData/BIN0013.tmp
59,1,q059_media_1.gif,media/q059_media_1.gif,BinData/BIN0014.tmp
62,1,q062_media_1.gif,media/q062_media_1.gif,BinData/BIN0015.tmp
69,1,q069_media_1.gif,media/q069_media_1.gif,BinData/BIN0016.tmp
72,1,q072_media_1.gif,media/q072_media_1.gif,BinData/BIN0017.tmp
73,1,q073_media_1.gif,media/q073_media_1.gif,BinData/BIN0018.tmp
76,1,q076_media_1.gif,media/q076_media_1.gif,BinData/BIN0019.tmp
77,1,q077_media_1.gif,media/q077_media_1.gif,BinData/BIN001A.tmp
77,2,q077_media_2.gif,media/q077_media_2.gif,BinData/BIN001B.tmp
77,3,q077_media_3.gif,media/q077_media_3.gif,BinData/BIN001C.tmp
77,4,q077_media_4.gif,media/q077_media_4.gif,BinData/BIN001D.tmp
77,5,q077_media_5.gif,media/q077_media_5.gif,BinData/BIN001E.tmp
78,1,q078_media_1.gif,media/q078_media_1.gif,BinData/BIN001F.tmp
79,1,q079_media_1.gif,media/q079_media_1.gif,BinData/BIN0020.tmp
79,2,q079_media_2.gif,media/q079_media_2.gif,BinData/BIN0021.tmp
79,3,q079_media_3.gif,media/q079_media_3.gif,BinData/BIN0022.tmp
79,4,q079_media_4.gif,media/q079_media_4.gif,BinData/BIN0023.tmp
79,5,q079_media_5.gif,media/q079_media_5.gif,BinData/BIN0024.tmp
82,1,q082_media_1.gif,media/q082_media_1.gif,BinData/BIN0025.tmp
84,1,q084_media_1.gif,media/q084_media_1.gif,BinData/BIN0026.tmp
89,1,q089_media_1.gif,media/q089_media_1.gif,BinData/BIN0027.tmp
90,1,q090_media_1.gif,media/q090_media_1.gif,BinData/BIN0028.tmp
97,1,q097_media_1.gif,media/q097_media_1.gif,BinData/BIN0029.tmp
